title,length,rental_rate
"GARDEN ISLAND",80,4.99
"LOSER HUSTLER",80,4.99
"MEET CHOCOLATE",80,2.99
"PEAK FOREVER",80,4.99
"SADDLE ANTITRUST",80,2.99
"SEA VIRGIN",80,2.99
"SHAWSHANK BUBBLE",80,4.99
"TURN STAR",80,2.99
"WAR NOTTING",80,4.99
"AMELIE HELLFIGHTERS",79,4.99
"ISHTAR ROCKETEER",79,4.99
"MOULIN WAKE",79,0.99
"SHOCK CABIN",79,2.99
"SPIKING ELEMENT",79,2.99
"WEREWOLF LOLA",79,4.99
"HOLIDAY GAMES",78,4.99
"INSIDER ARIZONA",78,2.99
"LANGUAGE COWBOY",78,0.99
"UNFAITHFUL KILL",78,2.99
"VOYAGE LEGALLY",78,0.99
"WATCH TRACY",78,0.99
"BERETS AGENT",77,2.99
"ENEMY ODDS",77,4.99
"FELLOWSHIP AUTUMN",77,4.99
"MEMENTO ZOOLANDER",77,4.99
"MOD SECRETARY",77,4.99
"PICKUP DRIVING",77,2.99
"BOONDOCK BALLROOM",76,0.99
"COMFORTS RUSH",76,2.99
"DESIRE ALIEN",76,2.99
"DESTINATION JERK",76,0.99
"HAUNTED ANTITRUST",76,4.99
"ORANGE GRAPES",76,0.99
"VILLAIN DESPERATE",76,4.99
"BALLOON HOMEWARD",75,2.99
"CALIFORNIA BIRDS",75,4.99
"FIDDLER LOST",75,4.99
"HELLFIGHTERS SIERRA",75,2.99
"LOVER TRUMAN",75,2.99
"NETWORK PEAK",75,2.99
"NEWTON LABYRINTH",75,0.99
"SATISFACTION CONFIDENTIAL",75,4.99
"STAMPEDE DISTURBING",75,0.99
"WIZARD COLDBLOODED",75,4.99
"ANGELS LIFE",74,2.99
"INFORMER DOUBLE",74,4.99
"JUMPING WRATH",74,0.99
"LUKE MUMMY",74,2.99
"MAGUIRE APACHE",74,2.99
"MODERN DORADO",74,0.99
"PEARL DESTINY",74,2.99
"RAINBOW SHOCK",74,4.99
"SILVERADO GOLDFINGER",74,4.99
"SNATCHERS MONTEZUMA",74,2.99
"TEEN APOLLO",74,4.99
"WORKING MICROCOSMOS",74,4.99
"BEDAZZLED MARRIED",73,0.99
"BRIGHT ENCOUNTERS",73,4.99
"BROTHERHOOD BLANKET",73,0.99
"FRIDA SLIPPER",73,2.99
"GODFATHER DIARY",73,2.99
"MUSKETEERS WAIT",73,4.99
"RANDOM GO",73,2.99
"REBEL AIRPORT",73,0.99
"SALUTE APOLLO",73,2.99
"STREETCAR INTENTIONS",73,4.99
"VALLEY PACKER",73,0.99
"WAKE JAWS",73,4.99
"BOWFINGER GABLES",72,4.99
"FICTION CHRISTMAS",72,0.99
"HARDLY ROBBERS",72,2.99
"MAUDE MOD",72,0.99
"BLOOD ARGONAUTS",71,0.99
"CHARIOTS CONSPIRACY",71,2.99
"KNOCK WARLOCK",71,2.99
"MANNEQUIN WORST",71,2.99
"PRINCESS GIANT",71,2.99
"TEMPLE ATTRACTION",71,4.99
"TRAIN BUNCH",71,4.99
"CANDIDATE PERDITION",70,2.99
"CHANCE RESURRECTION",70,2.99
"CLUE GRAIL",70,4.99
"COLDBLOODED DARLING",70,4.99
"GUNFIGHT MOON",70,0.99
"LOUISIANA HARRY",70,0.99
"WEDDING APOLLO",70,0.99
"CRUELTY UNFORGIVEN",69,0.99
"FLYING HOOK",69,2.99
"HEAD STRANGER",69,4.99
"HOLLYWOOD ANONYMOUS",69,0.99
"LEBOWSKI SOLDIERS",69,2.99
"TIMBERLAND SKY",69,0.99
"ARK RIDGEMONT",68,0.99
"DIVIDE MONSTER",68,2.99
"DOOM DANCING",68,0.99
"HUMAN GRAFFITI",68,2.99
"TOMATOES HELLFIGHTERS",68,0.99
"BUTCH PANTHER",67,0.99
"COMANCHEROS ENEMY",67,0.99
"EGG IGBY",67,2.99
"LADY STAGE",67,4.99
"LONELY ELEPHANT",67,2.99
"NORTH TEQUILA",67,4.99
"SHOOTIST SUPERFLY",67,0.99
"SILENCE KANE",67,0.99
"CHARADE DUFFEL",66,2.99
"EVE RESURRECTION",66,4.99
"BARBARELLA STREETCAR",65,2.99
"CLUB GRAFFITI",65,0.99
"CONFESSIONS MAGUIRE",65,4.99
"FREDDY STORM",65,4.99
"HUNTING MUSKETEERS",65,2.99
"LOVELY JINGLE",65,2.99
"PATRIOT ROMAN",65,2.99
"CRAFT OUTFIELD",64,0.99
"DESERT POSEIDON",64,4.99
"METROPOLIS COMA",64,2.99
"MILE MULAN",64,0.99
"NOVOCAINE FLIGHT",64,0.99
"SLEEPLESS MONSOON",64,4.99
"TAXI KICK",64,0.99
"TRIP NEWTON",64,4.99
"VICTORY ACADEMY",64,0.99
"ALADDIN CALENDAR",63,4.99
"BONNIE HOLOCAUST",63,0.99
"BORROWERS BEDAZZLED",63,0.99
"BOULEVARD MOB",63,0.99
"BUNCH MINDS",63,2.99
"DINOSAUR SECRETARY",63,2.99
"FORREST SONS",63,2.99
"INTOLERABLE INTENTIONS",63,4.99
"REUNION WITCHES",63,0.99
"AIRPLANE SIERRA",62,4.99
"ARABIA DOGMA",62,0.99
"HANGING DEEP",62,4.99
"MARS ROMAN",62,0.99
"SNOWMAN ROLLERCOASTER",62,0.99
"UNBREAKABLE KARATE",62,0.99
"BIRDS PERDITION",61,4.99
"BULWORTH COMMANDMENTS",61,2.99
"CAMELOT VACATION",61,0.99
"CASSIDY WYOMING",61,2.99
"CHINATOWN GLADIATOR",61,4.99
"DRIFTER COMMANDMENTS",61,4.99
"POLISH BROOKLYN",61,0.99
"RESERVOIR ADAPTATION",61,2.99
"TROUBLE DATE",61,2.99
"WATERFRONT DELIVERANCE",61,4.99
"BUBBLE GROSSE",60,4.99
"JERSEY SASSY",60,4.99
"MOCKINGBIRD HOLLYWOOD",60,0.99
"PHANTOM GLORY",60,2.99
"PITY BOUND",60,4.99
"ROOM ROMAN",60,0.99
"SHAKESPEARE SADDLE",60,2.99
"SMILE EARRING",60,2.99
"COMMANDMENTS EXPRESS",59,4.99
"DAUGHTER MADIGAN",59,4.99
"HEARTBREAKERS BRIGHT",59,4.99
"INTERVIEW LIAISONS",59,4.99
"JET NEIGHBORS",59,4.99
"LEGEND JEDI",59,0.99
"MINORITY KISS",59,0.99
"VISION TORQUE",59,0.99
"WHISPERER GIANT",59,4.99
"CLOSER BANG",58,4.99
"DANCES NONE",58,0.99
"FANTASY TROOPERS",58,0.99
"JEKYLL FROGMEN",58,2.99
"OKLAHOMA JUMANJI",58,0.99
"RINGS HEARTBREAKERS",58,0.99
"SUPER WYOMING",58,4.99
"ALTER VICTORY",57,0.99
"CRANES RESERVOIR",57,2.99
"DAWN POND",57,4.99
"DOCTOR GRAIL",57,2.99
"MOSQUITO ARMAGEDDON",57,0.99
"NOON PAPI",57,2.99
"STORM HAPPINESS",57,0.99
"BRIDE INTRIGUE",56,0.99
"CUPBOARD SINNERS",56,2.99
"DESTINY SATURDAY",56,4.99
"GOODFELLAS SALUTE",56,4.99
"MATRIX SNOWMAN",56,4.99
"COAST RAINBOW",55,0.99
"WOLVES DESIRE",55,0.99
"AIRPORT POLLOCK",54,4.99
"GO PURPLE",54,0.99
"JUGGLER HARDLY",54,0.99
"KILL BROTHERHOOD",54,0.99
"OCTOBER SUBMARINE",54,4.99
"SENSE GREEK",54,4.99
"BENEATH RUSH",53,0.99
"CABIN FLASH",53,0.99
"GUMP DATE",53,4.99
"MAGNIFICENT CHITTY",53,2.99
"MOVIE SHAKESPEARE",53,4.99
"PRIMARY GLASS",53,0.99
"SUMMER SCARFACE",53,0.99
"TEQUILA PAST",53,4.99
"THIN SAGEBRUSH",53,4.99
"CADDYSHACK JEDI",52,0.99
"HARPER DYING",52,0.99
"LUST LOCK",52,2.99
"SIDE ARK",52,0.99
"SPARTACUS CHEAPER",52,4.99
"TROJAN TOMORROW",52,2.99
"WESTWARD SEABISCUIT",52,0.99
"CHAMPION FLATLINERS",51,4.99
"DEEP CRUSADE",51,4.99
"ENGLISH BULWORTH",51,0.99
"EXCITEMENT EVE",51,0.99
"FRISCO FORREST",51,4.99
"HALL CASSIDY",51,4.99
"SIMON NORTH",51,0.99
"ADAPTATION HOLES",50,2.99
"BLUES INSTINCT",50,2.99
"CROSSING DIVORCE",50,4.99
"LION UNCUT",50,0.99
"MUPPET MILE",50,4.99
"NATURAL STOCK",50,0.99
"PILOT HOOSIERS",50,2.99
"SMOKING BARBARELLA",50,0.99
"ZORRO ARK",50,4.99
"DOORS PRESIDENT",49,4.99
"GROSSE WONDERFUL",49,4.99
"HEAVENLY GUN",49,4.99
"HOOK CHARIOTS",49,0.99
"HURRICANE AFFAIR",49,2.99
"ACE GOLDFINGER",48,4.99
"HEAVEN FREEDOM",48,2.99
"MIDSUMMER GROUNDHOG",48,4.99
"NOTTING SPEAKEASY",48,0.99
"ODDS BOOGIE",48,0.99
"PARADISE SABRINA",48,2.99
"PELICAN COMFORTS",48,4.99
"RUSH GOODFELLAS",48,0.99
"STEPMOM DREAM",48,4.99
"SUNSET RACER",48,0.99
"VALENTINE VANISHING",48,0.99
"DIVORCE SHINING",47,2.99
"DOWNHILL ENOUGH",47,0.99
"HALLOWEEN NUTS",47,2.99
"HANOVER GALAXY",47,4.99
"HAWK CHILL",47,0.99
"SHANGHAI TYCOON",47,2.99
"SUSPECTS QUILLS",47,2.99
"ALIEN CENTER",46,2.99
"IRON MOON",46,4.99
"KWAI HOMEWARD",46,0.99
"LABYRINTH LEAGUE",46,2.99
"RIDGEMONT SUBMARINE",46,0.99
